Lokace,Velikost,Metry2,Cena,Služby
Moravskoslezský kraj,1+kk,37 ,6050,0
Praha,3+kk,62 ,18000,4000
Ústecký kraj,4+1,77 ,12500,2500
Praha,3+kk,80 ,27000,2800
Praha,1+kk,38 ,13500,500
Jihomoravský kraj,4+kk,140 ,25000,5000
Praha,1+kk,25 ,14000,2500
Praha,3+1,70 ,18900,5400
Jihomoravský kraj,2+1,65 ,15000,2500
Praha,3+kk,62 ,16240,4760
Liberecký kraj,2+1,58 ,13000,2000
Praha,1+kk,40 ,12900,5100
Praha,3+kk,79 ,25500,4200
Praha,1+kk,29 ,12000,3000
Moravskoslezský kraj,3+1,71 ,8600,0
Praha,2+kk,60 ,25900,4500
Jihomoravský kraj,2+kk,60 ,19000,3000
Praha,2+kk,56 ,18000,1300
Liberecký kraj,1+kk,28 ,6990,1390
Moravskoslezský kraj,3+kk,75 ,15000,0
Královéhradecký kraj,3+1,108 ,10800,4500
Praha,1+kk,32 ,14000,600
Praha,2+kk,65 ,17000,4000
Praha,1+kk,22 ,12500,1500
Praha,2+kk,47 ,21500,3500
Praha,Garsoniéra,46 ,17500,4000
Praha,1+kk,35 ,14000,3200
Praha,2+kk,65 ,21900,3783
Jihomoravský kraj,1+kk,32 ,10500,3000
Praha,2+1,86 ,26000,700
Jihomoravský kraj,1+kk,26 ,11000,3000
Jihomoravský kraj,2+kk,50 ,12000,4000
Jihomoravský kraj,2+kk,43 ,13500,2500
Středočeský kraj,2+kk,40 ,13000,3500
Praha,1+kk,31 ,18000,3000
Praha,1+kk,28 ,13500,3700
Karlovarský kraj,2+kk,50 ,11500,5000
Plzeňský kraj,1+1,40 ,7000,5000
Praha,2+kk,47 ,21000,3000
Jihomoravský kraj,1+kk,27 ,12500,2500
Jihočeský kraj,2+1,52 ,13000,5000
Jihomoravský kraj,1+1,45 ,10000,3000
Praha,1+kk,31 ,14900,2900
Jihočeský kraj,2+kk,52 ,14000,5000
Plzeňský kraj,2+1,65 ,13500,1500
Karlovarský kraj,3+kk,93 ,16900,7500
Ústecký kraj,3+kk,62 ,9000,0
Praha,2+kk,55 ,17000,4000
Praha,2+kk,50 ,22200,3800
Praha,2+1,49 ,15000,2200
Středočeský kraj,2+kk,56 ,16000,3500
Plzeňský kraj,2+kk,51 ,12800,3500
Praha,1+kk,27 ,12000,2000
Praha,1+1,42 ,13500,3000
Praha,2+1,54 ,13600,700
Jihomoravský kraj,2+kk,44 ,14500,3500
Moravskoslezský kraj,2+kk,36 ,9000,4000
Jihomoravský kraj,1+kk,34 ,13000,2000
Moravskoslezský kraj,2+1,55 ,11000,1
Jihočeský kraj,2+1,57 ,10000,4500
Ústecký kraj,3+kk,70 ,14000,2930
Praha,3+kk,12 ,8500,500
Ústecký kraj,1+1,38 ,6000,500
Jihočeský kraj,2+kk,38 ,13400,2730
Jihomoravský kraj,1+1,35 ,11500,2500
Jihomoravský kraj,Garsoniéra,25 ,10000,1500
Jihomoravský kraj,3+1,100 ,12000,8000
Moravskoslezský kraj,2+kk,55 ,11500,3500
Praha,3+1,71 ,17000,4100
Moravskoslezský kraj,2+1,52 ,7150,0
Moravskoslezský kraj,2+1,55 ,9680,0
Moravskoslezský kraj,2+1,48 ,7470,0
Moravskoslezský kraj,2+1,54 ,6880,0
Moravskoslezský kraj,1+1,36 ,5860,0
Moravskoslezský kraj,2+1,58 ,5600,0
Praha,3+kk,70 ,21000,6000
Moravskoslezský kraj,2+1,54 ,5400,0
Moravskoslezský kraj,3+kk,59 ,13850,0
Moravskoslezský kraj,2+kk,44 ,12900,0
Moravskoslezský kraj,3+1,65 ,8370,0
Moravskoslezský kraj,2+1,64 ,9300,0
Moravskoslezský kraj,1+1,36 ,8350,0
Moravskoslezský kraj,2+1,55 ,9200,0
Moravskoslezský kraj,3+1,73 ,10350,0
Moravskoslezský kraj,2+1,66 ,12150,0
Moravskoslezský kraj,1+1,37 ,6010,0
Moravskoslezský kraj,2+kk,43 ,12900,0
Moravskoslezský kraj,3+kk,60 ,14550,0
Moravskoslezský kraj,3+kk,71 ,15500,0
Moravskoslezský kraj,1+kk,27 ,5250,0
Moravskoslezský kraj,3+1,70 ,9340,0
Moravskoslezský kraj,2+kk,40 ,7920,0
Moravskoslezský kraj,2+1,55 ,5790,0
Moravskoslezský kraj,1+1,37 ,8270,0
Moravskoslezský kraj,2+1,52 ,6570,0
Moravskoslezský kraj,1+1,36 ,7420,0
Moravskoslezský kraj,2+1,60 ,8820,0
Moravskoslezský kraj,1+kk,27 ,6150,0
Moravskoslezský kraj,3+1,61 ,7320,0
Moravskoslezský kraj,2+kk,39 ,7270,0
Moravskoslezský kraj,2+1,57 ,7750,0
Moravskoslezský kraj,2+1,53 ,6350,0
Moravskoslezský kraj,3+1,69 ,7170,0
Moravskoslezský kraj,2+kk,61 ,9670,0
Moravskoslezský kraj,1+kk,33 ,6300,0
Moravskoslezský kraj,2+kk,43 ,7980,0
Moravskoslezský kraj,1+1,43 ,9790,0
Moravskoslezský kraj,3+1,76 ,9380,0
Moravskoslezský kraj,1+kk,18 ,3810,0
Moravskoslezský kraj,2+1,48 ,8210,0
Moravskoslezský kraj,2+1,54 ,9090,0
Moravskoslezský kraj,1+1,33 ,6460,0
Moravskoslezský kraj,2+1,58 ,7600,0
Moravskoslezský kraj,2+1,54 ,7790,0
Moravskoslezský kraj,2+1,55 ,5080,0
Moravskoslezský kraj,3+1,88 ,12100,0
Moravskoslezský kraj,1+1,38 ,6190,0
Moravskoslezský kraj,2+1,52 ,6600,0
Moravskoslezský kraj,1+1,39 ,5400,0
Moravskoslezský kraj,1+1,27 ,3250,0
Moravskoslezský kraj,2+1,55 ,7020,0
Moravskoslezský kraj,1+kk,33 ,7100,0
Moravskoslezský kraj,4+1,88 ,8950,0
Moravskoslezský kraj,3+1,82 ,9680,0
Moravskoslezský kraj,2+1,49 ,5470,0
Moravskoslezský kraj,2+1,73 ,12860,0
Moravskoslezský kraj,2+kk,38 ,7820,0
Moravskoslezský kraj,3+1,94 ,13320,0
Moravskoslezský kraj,3+1,89 ,12650,0
Karlovarský kraj,2+1,56 ,17000,1
Moravskoslezský kraj,2+1,56 ,6050,0
Moravskoslezský kraj,3+1,61 ,7900,0
Moravskoslezský kraj,2+1,48 ,7200,0
Moravskoslezský kraj,2+1,67 ,8020,0
Moravskoslezský kraj,1+1,35 ,7620,0
Moravskoslezský kraj,3+1,75 ,11220,0
Moravskoslezský kraj,2+1,48 ,7900,0
Moravskoslezský kraj,2+1,46 ,5520,0
Moravskoslezský kraj,2+1,70 ,7700,0
Moravskoslezský kraj,2+1,55 ,5850,0
Moravskoslezský kraj,2+1,51 ,8750,0
Moravskoslezský kraj,2+1,53 ,7450,0
Moravskoslezský kraj,2+1,47 ,5450,0
Moravskoslezský kraj,2+1,56 ,7540,0
Moravskoslezský kraj,2+1,52 ,7550,0
Moravskoslezský kraj,2+kk,41 ,7310,0
Moravskoslezský kraj,1+1,28 ,6670,0
Moravskoslezský kraj,2+1,61 ,8960,0
Moravskoslezský kraj,2+1,61 ,11390,0
Moravskoslezský kraj,2+kk,40 ,7060,0
Moravskoslezský kraj,2+kk,44 ,8080,0
Moravskoslezský kraj,2+1,58 ,8350,0
Moravskoslezský kraj,2+1,62 ,10100,0
Moravskoslezský kraj,2+1,56 ,11400,0
Moravskoslezský kraj,1+kk,22 ,5350,0
Moravskoslezský kraj,3+1,76 ,8920,0
Moravskoslezský kraj,2+kk,41 ,6660,0
Moravskoslezský kraj,2+kk,41 ,6600,0
Moravskoslezský kraj,2+1,62 ,7400,0
Moravskoslezský kraj,2+1,53 ,9470,0
Moravskoslezský kraj,2+kk,36 ,5550,0
Moravskoslezský kraj,1+1,35 ,7820,0
Moravskoslezský kraj,2+1,52 ,6100,0
Moravskoslezský kraj,1+kk,25 ,6100,0
Moravskoslezský kraj,3+1,66 ,11950,0
Moravskoslezský kraj,2+1,57 ,9950,0
Moravskoslezský kraj,2+1,63 ,8300,0
Moravskoslezský kraj,1+1,36 ,6440,0
Moravskoslezský kraj,2+1,66 ,8100,0
Moravskoslezský kraj,1+1,27 ,3900,0
Moravskoslezský kraj,1+1,36 ,5990,0
Moravskoslezský kraj,2+1,58 ,8800,0
Moravskoslezský kraj,2+1,53 ,5570,0
Moravskoslezský kraj,2+1,55 ,8240,0
Moravskoslezský kraj,2+1,55 ,6000,0
Moravskoslezský kraj,1+kk,19 ,4050,0
Moravskoslezský kraj,2+kk,51 ,12050,0
Moravskoslezský kraj,2+1,55 ,7200,0
Moravskoslezský kraj,1+1,37 ,6850,0
Moravskoslezský kraj,3+kk,56 ,10200,0
Moravskoslezský kraj,2+1,52 ,6100,0
Moravskoslezský kraj,2+kk,45 ,6100,0
Moravskoslezský kraj,2+1,47 ,7280,0
Moravskoslezský kraj,2+1,89 ,11070,0
Moravskoslezský kraj,2+kk,54 ,8100,0
Moravskoslezský kraj,2+1,55 ,8800,0
Moravskoslezský kraj,2+1,58 ,8050,0
Moravskoslezský kraj,3+1,70 ,7960,0
Moravskoslezský kraj,2+1,53 ,6450,0
Moravskoslezský kraj,2+1,54 ,5750,0
Moravskoslezský kraj,2+1,50 ,5950,0
Moravskoslezský kraj,3+1,73 ,6900,0
Moravskoslezský kraj,1+1,27 ,3220,0
Moravskoslezský kraj,3+1,78 ,6500,0
Moravskoslezský kraj,1+1,46 ,8820,0
Moravskoslezský kraj,2+1,55 ,7840,0
Moravskoslezský kraj,2+1,51 ,5900,0
Moravskoslezský kraj,1+kk,28 ,4690,0
Moravskoslezský kraj,1+kk,30 ,5640,0
Moravskoslezský kraj,2+1,75 ,9100,0
Moravskoslezský kraj,2+1,53 ,6710,0
Moravskoslezský kraj,1+1,38 ,7970,0
Moravskoslezský kraj,2+1,57 ,8470,0
Moravskoslezský kraj,1+kk,23 ,6050,0
Pardubický kraj,1+1,36 ,8500,3500
Moravskoslezský kraj,2+1,50 ,4520,0
Moravskoslezský kraj,2+1,59 ,7550,0
Moravskoslezský kraj,2+1,56 ,6000,0
Moravskoslezský kraj,2+1,54 ,8620,0
Moravskoslezský kraj,3+1,63 ,6240,0
Moravskoslezský kraj,3+1,73 ,8600,0
Moravskoslezský kraj,2+1,53 ,6650,0
Moravskoslezský kraj,2+1,53 ,7000,0
Moravskoslezský kraj,2+1,50 ,7600,0
Moravskoslezský kraj,1+kk,32 ,4950,0
Moravskoslezský kraj,2+1,53 ,6550,0
Moravskoslezský kraj,2+1,60 ,9290,0
Moravskoslezský kraj,3+1,67 ,9990,0
Moravskoslezský kraj,1+kk,28 ,4430,0
Moravskoslezský kraj,2+1,54 ,5680,0
Moravskoslezský kraj,2+1,59 ,7070,0
Moravskoslezský kraj,3+1,75 ,10440,0
Moravskoslezský kraj,2+1,48 ,6250,0
Moravskoslezský kraj,2+kk,64 ,13700,0
Moravskoslezský kraj,1+kk,37 ,5170,0
Moravskoslezský kraj,1+1,35 ,5970,0
Moravskoslezský kraj,2+1,52 ,6250,0
Moravskoslezský kraj,1+kk,27 ,4590,0
Moravskoslezský kraj,2+1,56 ,6720,0
Moravskoslezský kraj,2+1,52 ,9150,0
Moravskoslezský kraj,2+1,58 ,9290,0
Moravskoslezský kraj,2+1,55 ,6400,0
Moravskoslezský kraj,3+1,79 ,11600,0
Moravskoslezský kraj,2+1,54 ,8450,0
Moravskoslezský kraj,1+kk,37 ,5900,0
Moravskoslezský kraj,1+1,27 ,4650,0
Moravskoslezský kraj,2+kk,48 ,8190,0
Moravskoslezský kraj,1+1,26 ,6000,0
Moravskoslezský kraj,3+1,75 ,12190,0
Moravskoslezský kraj,2+1,59 ,7500,0
Moravskoslezský kraj,2+1,49 ,5250,0
Moravskoslezský kraj,2+1,50 ,5220,0
Moravskoslezský kraj,2+1,63 ,8910,0
Moravskoslezský kraj,2+1,60 ,8640,0
Moravskoslezský kraj,3+1,74 ,8100,0
Moravskoslezský kraj,2+1,51 ,7870,0
Moravskoslezský kraj,3+1,69 ,6300,0
Moravskoslezský kraj,1+1,41 ,7250,0
Moravskoslezský kraj,1+1,28 ,4650,0
Moravskoslezský kraj,2+1,54 ,6900,0
Moravskoslezský kraj,1+kk,38 ,6970,0
Moravskoslezský kraj,1+kk,18 ,4000,0
Moravskoslezský kraj,1+1,36 ,7860,0
Moravskoslezský kraj,3+1,69 ,9000,0
Moravskoslezský kraj,1+kk,31 ,7090,0
Moravskoslezský kraj,2+1,48 ,6420,0
Moravskoslezský kraj,2+1,49 ,4770,0
Moravskoslezský kraj,1+kk,26 ,4420,0
Moravskoslezský kraj,3+1,74 ,7790,0
Moravskoslezský kraj,2+1,55 ,6020,0
Moravskoslezský kraj,2+1,45 ,6300,0
Moravskoslezský kraj,2+1,62 ,7730,0
Moravskoslezský kraj,2+1,49 ,7400,0
Moravskoslezský kraj,1+kk,32 ,5190,0
Moravskoslezský kraj,2+1,55 ,6700,0
Moravskoslezský kraj,3+1,66 ,8100,0
Moravskoslezský kraj,1+1,46 ,8300,0
Moravskoslezský kraj,3+1,74 ,10270,0
Moravskoslezský kraj,2+1,50 ,6720,0
Moravskoslezský kraj,2+1,50 ,6720,0
Moravskoslezský kraj,2+kk,46 ,8030,0
Moravskoslezský kraj,2+1,58 ,7250,0
Moravskoslezský kraj,3+1,77 ,9940,0
Moravskoslezský kraj,2+1,54 ,7050,0
Moravskoslezský kraj,2+1,54 ,6850,0
Moravskoslezský kraj,3+1,69 ,8350,0
Moravskoslezský kraj,3+1,60 ,7350,0
Moravskoslezský kraj,3+1,77 ,10070,0
Moravskoslezský kraj,2+1,54 ,8450,0
Moravskoslezský kraj,1+kk,28 ,4390,0
Moravskoslezský kraj,3+1,67 ,11020,0
Moravskoslezský kraj,2+1,60 ,8350,0
Moravskoslezský kraj,1+1,43 ,6550,0
Moravskoslezský kraj,1+kk,29 ,5500,0
Moravskoslezský kraj,1+1,35 ,6150,0
Moravskoslezský kraj,2+1,56 ,5450,0
Moravskoslezský kraj,3+1,65 ,7400,0
Moravskoslezský kraj,1+1,37 ,6150,0
Moravskoslezský kraj,1+kk,21 ,4400,0
Moravskoslezský kraj,2+1,60 ,6850,0
Moravskoslezský kraj,2+1,48 ,7820,0
Moravskoslezský kraj,2+1,56 ,8300,0
Moravskoslezský kraj,2+1,56 ,6350,0
Moravskoslezský kraj,1+1,39 ,7520,0
Moravskoslezský kraj,2+1,45 ,6300,0
Moravskoslezský kraj,4+1,82 ,7050,0
Středočeský kraj,3+kk,88 ,14800,4000
Moravskoslezský kraj,2+1,55 ,9070,0
Moravskoslezský kraj,1+1,34 ,5370,0
Moravskoslezský kraj,2+1,53 ,6600,0
Moravskoslezský kraj,1+kk,22 ,5540,0
Moravskoslezský kraj,2+1,48 ,6600,0
Moravskoslezský kraj,2+1,56 ,6800,0
Moravskoslezský kraj,1+kk,30 ,5250,0
Moravskoslezský kraj,1+1,40 ,7200,0
Moravskoslezský kraj,1+kk,20 ,4230,0
Moravskoslezský kraj,2+kk,37 ,5170,0
Moravskoslezský kraj,2+1,51 ,6500,0
Olomoucký kraj,1+1,35 ,8500,2500
Praha,1+kk,40 ,11000,2000
Praha,3+1,82 ,17000,5400
Praha,2+1,110 ,26500,3500
Praha,1+kk,30 ,15000,3250
Praha,1+kk,27 ,11000,4000
Jihomoravský kraj,2+1,61 ,11900,5000
Praha,3+kk,75 ,20000,4000
Jihočeský kraj,2+1,63 ,8500,3700
Praha,Garsoniéra,30 ,12000,4000
Praha,2+kk,45 ,14500,5000
Praha,1+kk,40 ,15900,2800
Ústecký kraj,3+1,127 ,15500,0
Praha,4+kk,25 ,12500,2500
Praha,2+kk,51 ,16000,4000
Středočeský kraj,1+kk,36 ,10000,4500
Praha,2+kk,46 ,17900,0
Liberecký kraj,1+1,38 ,6990,1000
Jihomoravský kraj,1+1,43 ,13100,3700
Středočeský kraj,3+1,80 ,10990,4339
Praha,2+kk,55 ,21000,3700
Jihomoravský kraj,3+1,72 ,21000,4000
Praha,1+kk,32 ,13500,3900
Středočeský kraj,1+1,55 ,8000,3000
Středočeský kraj,1+kk,22 ,6100,3000
Moravskoslezský kraj,2+1,52 ,9030,0
Moravskoslezský kraj,2+1,49 ,7630,0
Praha,3+1,75 ,14999,5000
Moravskoslezský kraj,3+1,73 ,8500,0
Moravskoslezský kraj,1+1,34 ,5200,0
Moravskoslezský kraj,2+1,53 ,5600,0
Moravskoslezský kraj,2+kk,37 ,5680,0
Moravskoslezský kraj,2+kk,45 ,13150,0
Moravskoslezský kraj,3+kk,46 ,13350,0
Moravskoslezský kraj,1+1,27 ,4100,0
Moravskoslezský kraj,2+1,49 ,5920,0
Moravskoslezský kraj,2+1,59 ,10000,0
Moravskoslezský kraj,2+kk,43 ,8180,0
Moravskoslezský kraj,2+1,47 ,8050,0
Moravskoslezský kraj,1+1,44 ,7720,0
Moravskoslezský kraj,2+1,47 ,7230,0
Moravskoslezský kraj,2+kk,42 ,12900,0
Moravskoslezský kraj,3+1,74 ,7750,0
Moravskoslezský kraj,2+1,55 ,10300,0
Moravskoslezský kraj,1+1,44 ,6560,0
Moravskoslezský kraj,2+1,48 ,5480,0
Moravskoslezský kraj,1+kk,35 ,10550,0
Moravskoslezský kraj,3+1,72 ,8370,0
Moravskoslezský kraj,2+1,50 ,7790,0
Moravskoslezský kraj,3+1,67 ,12520,0
Moravskoslezský kraj,3+1,87 ,13710,0
Moravskoslezský kraj,2+1,55 ,9930,0
Moravskoslezský kraj,2+1,52 ,6290,0
Moravskoslezský kraj,1+1,43 ,7040,0
Moravskoslezský kraj,3+1,75 ,9780,0
Moravskoslezský kraj,1+1,37 ,8020,0
Moravskoslezský kraj,2+1,52 ,6220,0
Moravskoslezský kraj,2+1,47 ,7810,0
Moravskoslezský kraj,1+kk,26 ,5870,0
Moravskoslezský kraj,2+1,56 ,6820,0
Moravskoslezský kraj,2+1,54 ,6320,0
Moravskoslezský kraj,1+1,27 ,3400,0
Moravskoslezský kraj,1+1,28 ,5010,0
Moravskoslezský kraj,1+1,37 ,6150,0
Moravskoslezský kraj,2+1,47 ,6770,0
Moravskoslezský kraj,2+1,52 ,9530,0
Moravskoslezský kraj,2+kk,56 ,10990,0
Moravskoslezský kraj,2+1,56 ,9000,0
Moravskoslezský kraj,2+1,55 ,5700,0
Moravskoslezský kraj,3+1,68 ,6300,0
Moravskoslezský kraj,3+1,68 ,6570,0
Moravskoslezský kraj,2+kk,41 ,4810,0
Moravskoslezský kraj,3+1,72 ,8010,0
Moravskoslezský kraj,1+1,36 ,7860,0
Moravskoslezský kraj,2+1,46 ,6550,0
Moravskoslezský kraj,1+1,27 ,4870,0
Moravskoslezský kraj,2+1,48 ,5470,0
Moravskoslezský kraj,2+1,52 ,6570,0
Moravskoslezský kraj,1+1,28 ,4120,0
Moravskoslezský kraj,1+1,37 ,4800,0
Moravskoslezský kraj,2+1,50 ,5900,0
Moravskoslezský kraj,3+1,69 ,7040,0
Praha,2+kk,61 ,22895,4974
Jihomoravský kraj,1+1,40 ,10500,3000
Moravskoslezský kraj,2+1,55 ,4900,0
Moravskoslezský kraj,3+1,73 ,11350,0
Moravskoslezský kraj,1+1,28 ,4450,0
Moravskoslezský kraj,2+1,50 ,6910,0
Moravskoslezský kraj,3+1,67 ,7920,0
Moravskoslezský kraj,2+1,47 ,7050,0
Moravskoslezský kraj,3+1,71 ,9750,0
Moravskoslezský kraj,2+1,53 ,5550,0
Moravskoslezský kraj,2+1,54 ,7490,0
Moravskoslezský kraj,1+kk,27 ,5770,0
Moravskoslezský kraj,2+1,54 ,5520,0
Moravskoslezský kraj,2+1,47 ,5690,0
Moravskoslezský kraj,3+1,68 ,8500,0
Moravskoslezský kraj,2+1,49 ,6900,0
Moravskoslezský kraj,1+1,36 ,7620,0
Moravskoslezský kraj,2+1,50 ,6400,0
Moravskoslezský kraj,3+1,68 ,7590,0
Moravskoslezský kraj,4+1,109 ,14770,0
Moravskoslezský kraj,3+1,66 ,7400,0
Moravskoslezský kraj,2+1,53 ,5800,0
Moravskoslezský kraj,4+kk,102 ,16490,0
Moravskoslezský kraj,3+1,77 ,10500,0
Moravskoslezský kraj,2+1,61 ,6050,0
Moravskoslezský kraj,1+kk,29 ,4400,0
Moravskoslezský kraj,3+kk,55 ,9450,0
Moravskoslezský kraj,3+1,80 ,8990,0
Moravskoslezský kraj,2+1,76 ,9720,0
Moravskoslezský kraj,2+1,68 ,6250,0
Moravskoslezský kraj,2+1,58 ,9700,0
Moravskoslezský kraj,2+1,53 ,9250,0
Moravskoslezský kraj,1+1,39 ,8320,0
Moravskoslezský kraj,2+1,54 ,5800,0
Moravskoslezský kraj,3+1,66 ,10150,0
Moravskoslezský kraj,4+1,103 ,9700,0
Moravskoslezský kraj,2+1,52 ,8800,0
Moravskoslezský kraj,2+1,69 ,9170,0
Moravskoslezský kraj,2+kk,56 ,8390,0
Moravskoslezský kraj,3+1,83 ,6850,0
Moravskoslezský kraj,2+1,56 ,6450,0
Moravskoslezský kraj,2+1,56 ,8160,0
Moravskoslezský kraj,2+1,58 ,9600,0
Moravskoslezský kraj,2+1,57 ,7400,0
Moravskoslezský kraj,2+1,53 ,7340,0
Moravskoslezský kraj,2+1,51 ,6420,0
Moravskoslezský kraj,1+1,37 ,5920,0
Moravskoslezský kraj,1+kk,29 ,6890,0
Moravskoslezský kraj,2+1,55 ,8910,0
Moravskoslezský kraj,3+1,66 ,7650,0
Moravskoslezský kraj,2+1,59 ,7500,0
Moravskoslezský kraj,1+1,27 ,3300,0
Moravskoslezský kraj,1+1,39 ,7520,0
Moravskoslezský kraj,2+1,50 ,8000,3800
Moravskoslezský kraj,1+kk,27 ,4720,0
Moravskoslezský kraj,2+kk,37 ,6520,0
Moravskoslezský kraj,1+kk,27 ,4840,0
Moravskoslezský kraj,2+1,48 ,7720,0
Moravskoslezský kraj,3+1,74 ,9470,0
Moravskoslezský kraj,2+kk,48 ,8080,0
Moravskoslezský kraj,3+1,77 ,9700,0
Moravskoslezský kraj,2+kk,45 ,6250,0
Moravskoslezský kraj,2+1,47 ,7350,0
Moravskoslezský kraj,1+kk,24 ,4650,0
Moravskoslezský kraj,2+1,63 ,7150,0
Moravskoslezský kraj,2+1,52 ,9350,0
Moravskoslezský kraj,1+1,36 ,7800,0
Moravskoslezský kraj,3+1,76 ,8160,0
Moravskoslezský kraj,2+1,55 ,7100,0
Moravskoslezský kraj,1+1,38 ,8230,0
Moravskoslezský kraj,2+1,53 ,6750,0
Moravskoslezský kraj,2+1,47 ,8570,0
Moravskoslezský kraj,2+1,57 ,6710,0
Moravskoslezský kraj,2+1,54 ,6700,0
Moravskoslezský kraj,2+1,52 ,6400,0
Moravskoslezský kraj,3+1,66 ,7300,0
Moravskoslezský kraj,2+1,51 ,5650,0
Moravskoslezský kraj,2+1,51 ,6800,0
Moravskoslezský kraj,2+1,51 ,7050,0
Moravskoslezský kraj,3+1,64 ,11560,0
Moravskoslezský kraj,2+1,54 ,9000,0
Moravskoslezský kraj,2+1,49 ,6660,0
Moravskoslezský kraj,2+1,56 ,8470,0
Moravskoslezský kraj,4+1,109 ,16050,0
Moravskoslezský kraj,2+1,53 ,7050,0
Moravskoslezský kraj,1+1,38 ,7620,0
Moravskoslezský kraj,2+1,56 ,6100,0
Moravskoslezský kraj,1+kk,21 ,3390,0
Moravskoslezský kraj,1+kk,22 ,3850,0
Moravskoslezský kraj,3+1,70 ,6470,0
Moravskoslezský kraj,1+1,37 ,7800,0
Moravskoslezský kraj,2+1,73 ,9000,0
Moravskoslezský kraj,1+1,38 ,7620,0
Moravskoslezský kraj,2+kk,59 ,13800,0
Moravskoslezský kraj,2+1,48 ,4670,0
Moravskoslezský kraj,2+kk,42 ,7870,0
Moravskoslezský kraj,2+1,56 ,9420,0
Moravskoslezský kraj,1+kk,25 ,4920,0
Moravskoslezský kraj,2+1,54 ,5800,0
Moravskoslezský kraj,2+1,51 ,8300,0
Moravskoslezský kraj,2+1,52 ,8720,0
Moravskoslezský kraj,2+1,57 ,7050,0
Moravskoslezský kraj,2+1,48 ,7600,0
Moravskoslezský kraj,2+1,55 ,8860,0
Moravskoslezský kraj,2+1,48 ,8350,0
Moravskoslezský kraj,2+1,56 ,5700,0
Moravskoslezský kraj,2+1,54 ,6400,0
Moravskoslezský kraj,2+1,58 ,9170,0
Moravskoslezský kraj,1+kk,21 ,4000,0
Moravskoslezský kraj,2+1,53 ,8450,0
Moravskoslezský kraj,4+1,75 ,9150,0
Moravskoslezský kraj,3+1,70 ,10120,0
Moravskoslezský kraj,2+1,57 ,5670,0
Moravskoslezský kraj,3+1,68 ,8180,0
Moravskoslezský kraj,2+1,52 ,9400,0
Moravskoslezský kraj,2+1,54 ,5600,0
Moravskoslezský kraj,2+1,56 ,6900,0
Moravskoslezský kraj,2+1,54 ,6080,0
Moravskoslezský kraj,2+1,46 ,6800,0
Moravskoslezský kraj,2+1,50 ,6600,0
Moravskoslezský kraj,2+1,47 ,6770,0
Moravskoslezský kraj,1+kk,22 ,4340,0
Praha,1+1,48 ,14000,3500
Moravskoslezský kraj,2+kk,45 ,5650,0
Praha,1+kk,31 ,15000,2500
Moravskoslezský kraj,2+1,49 ,5650,0
Moravskoslezský kraj,1+kk,25 ,4590,0
Moravskoslezský kraj,2+1,55 ,7100,0
Moravskoslezský kraj,3+1,69 ,7170,0
Moravskoslezský kraj,3+1,75 ,9850,0
Moravskoslezský kraj,3+1,69 ,9200,0
Moravskoslezský kraj,2+1,58 ,7080,0
Moravskoslezský kraj,2+1,55 ,9000,0
Moravskoslezský kraj,2+1,52 ,6670,0
Moravskoslezský kraj,2+1,55 ,6840,0
Moravskoslezský kraj,2+1,49 ,6600,0
Moravskoslezský kraj,3+1,73 ,10790,0
Moravskoslezský kraj,1+kk,26 ,6000,0
Moravskoslezský kraj,1+kk,28 ,5650,0
Moravskoslezský kraj,3+1,82 ,9150,0
Moravskoslezský kraj,3+1,63 ,7840,0
Moravskoslezský kraj,2+1,51 ,6600,0
Moravskoslezský kraj,2+1,51 ,6670,0
Moravskoslezský kraj,1+kk,19 ,3540,0
Moravskoslezský kraj,1+kk,29 ,4760,0
Moravskoslezský kraj,2+kk,44 ,8800,0
Moravskoslezský kraj,2+1,55 ,7020,0
Liberecký kraj,1+kk,32 ,8300,3200
Moravskoslezský kraj,2+1,54 ,5540,0
Moravskoslezský kraj,1+kk,24 ,4070,0
Moravskoslezský kraj,2+1,53 ,6300,0
Moravskoslezský kraj,2+1,49 ,5650,0
Moravskoslezský kraj,3+1,67 ,7880,0
Moravskoslezský kraj,2+kk,42 ,6370,0
Moravskoslezský kraj,1+kk,32 ,5170,0
Moravskoslezský kraj,2+kk,39 ,9900,0
Moravskoslezský kraj,2+1,50 ,6650,0
Moravskoslezský kraj,2+kk,47 ,9900,0
Moravskoslezský kraj,2+1,58 ,5370,0
Moravskoslezský kraj,2+1,72 ,9240,0
Moravskoslezský kraj,2+1,47 ,5050,0
Moravskoslezský kraj,2+1,50 ,5700,0
Moravskoslezský kraj,2+1,52 ,6450,0
Moravskoslezský kraj,3+1,69 ,6150,0
Moravskoslezský kraj,1+1,27 ,3240,0
Moravskoslezský kraj,2+1,52 ,6600,0
Moravskoslezský kraj,3+1,72 ,7500,0
Moravskoslezský kraj,2+1,53 ,5900,0
Moravskoslezský kraj,2+1,47 ,7520,0
Moravskoslezský kraj,2+1,58 ,9170,0
Moravskoslezský kraj,1+1,36 ,7490,0
Moravskoslezský kraj,2+1,55 ,5620,0
Moravskoslezský kraj,2+1,53 ,6830,0
Moravskoslezský kraj,1+1,43 ,7040,0
Moravskoslezský kraj,1+kk,26 ,6690,0
Moravskoslezský kraj,1+kk,28 ,5870,0
Moravskoslezský kraj,2+1,55 ,7280,0
Středočeský kraj,3+1,77 ,19800,5000
