Lokace,Velikost,Metry2,Cena,Služby
Praha,2+kk,47 ,21768,2772
Pardubický kraj,Garsoniéra,20 ,5500,800
Ústecký kraj,2+kk,48 ,9000,4000
Středočeský kraj,2+kk,45 ,11500,2500
Moravskoslezský kraj,3+1,69 ,6250,0
Praha,1+kk,26 ,21900,3000
Moravskoslezský kraj,1+kk,28 ,4100,0
Olomoucký kraj,3+1,75 ,12000,3600
Praha,1+kk,25 ,22000,3500
Královéhradecký kraj,2+1,56 ,12000,3500
Moravskoslezský kraj,2+1,49 ,6150,0
Jihomoravský kraj,1+kk,37 ,10000,2500
Praha,2+kk,63 ,26000,3400
Praha,3+1,82 ,20000,1000
Praha,Garsoniéra,29 ,15000,3000
Jihočeský kraj,1+1,44 ,6000,2800
Praha,1+kk,16 ,10000,2500
Praha,2+kk,45 ,33750,11250
Středočeský kraj,3+kk,80 ,26250,8750
Praha,2+kk,44 ,17500,2500
Praha,3+kk,106 ,27000,6000
Praha,4+1,30 ,8300,0
Jihomoravský kraj,2+kk,48 ,14000,4500
Jihomoravský kraj,1+kk,27 ,11800,2010
Zlínský kraj,3+1,70 ,15000,2000
Praha,2+kk,46 ,39600,13200
Praha,2+1,90 ,19725,6575
Praha,2+kk,55 ,17000,3500
Středočeský kraj,1+1,42 ,9000,4000
Praha,3+kk,62 ,20000,4500
Královéhradecký kraj,3+1,95 ,18500,3500
Praha,2+kk,56 ,16000,4000
Středočeský kraj,2+kk,45 ,12000,3000
Praha,2+kk,62 ,26000,2000
Středočeský kraj,Garsoniéra,19 ,10000,1410
Jihomoravský kraj,2+kk,53 ,18000,6000
Ústecký kraj,4+1,77 ,7000,100
Pardubický kraj,2+kk,58 ,13500,2000
Jihomoravský kraj,2+1,67 ,15000,3500
Jihomoravský kraj,2+kk,43 ,14000,2432
Ústecký kraj,3+kk,60 ,9500,4400
Praha,2+kk,62 ,32175,10725
Praha,2+kk,43 ,16200,3800
Liberecký kraj,1+kk,46 ,10000,2600
Praha,3+1,73 ,22900,3500
Praha,2+kk,48 ,19000,5000
Praha,4+kk,110 ,29900,0
Praha,1+kk,32 ,13000,5000
Moravskoslezský kraj,3+1,124 ,15000,500
Moravskoslezský kraj,1+1,45 ,8000,800
Moravskoslezský kraj,2+1,64 ,9500,800
Ústecký kraj,Garsoniéra,22 ,3500,2500
Praha,4+1,102 ,41756,13919
Praha,2+kk,0 ,60000,20000
Praha,2+1,45 ,20625,6875
Praha,3+1,85 ,51840,17280
Praha,1+kk,26 ,41438,13812
Praha,2+kk,0 ,60000,20000
Praha,1+kk,27 ,32250,10750
Praha,2+1,65 ,32400,10800
Praha,3+kk,80 ,33000,11000
Praha,2+1,65 ,29250,9750
Jihočeský kraj,1+kk,37 ,16511,5504
Praha,2+1,92 ,39000,13000
Praha,2+kk,50 ,27195,9065
Praha,1+kk,42 ,27000,9000
Praha,1+1,45 ,33750,11250
Jihomoravský kraj,2+kk,45 ,12000,3500
Praha,3+1,108 ,48435,16145
Praha,1+kk,40 ,28050,9350
Středočeský kraj,2+1,60 ,11000,3500
Praha,3+kk,79 ,20000,5800
Praha,2+kk,54 ,26000,7900
Plzeňský kraj,1+kk,38 ,8500,2000
Praha,3+1,90 ,20000,8000
Středočeský kraj,2+kk,45 ,13900,3000
Praha,2+kk,63 ,18000,5000
