Pardubice Pardubický kraj,2+1,56 ,13000,3000
Sluneční Mladá Boleslav Středočeský kraj,2+1,75 ,17000,3500
Frýdek-Místek - Místek Moravskoslezský kraj,2+1,68 ,12500,3000
Praha - Čimice,1+kk,22 ,11500,2580
Praha - Smíchov,2+kk,54 ,15000,5000
Nové Mesto Bratislavský kraj,Dvo,upokojový53 ,520€,180€
Školní Praha - Braník,1+kk,28 ,8900,3100
Brno - Ponava Jihomoravský kraj,1+kk,38 ,13000,2500
Příbram Středočeský kraj,3+1,88 ,13000,5571
Rumunská Praha - Vinohrady,2+kk,52 ,27000,9000
Ostrava - Mariánské Hory Moravskoslezský kraj,2+1,47 ,11000,4500
Písecká Praha - Vinohrady,2+kk,55 ,18000,5000
Za Pohořelcem Praha - Střešovice,1+1,47 ,11800,3700
Valerije Pavloviče Čkalova Praha - Bubeneč,2+kk,52 ,14700,0
Praha - Smíchov,2+kk,55 ,17500,1500
Olšanská Praha - Žižkov,1+kk,42 ,15800,3280
Poděbradova Brno - Ponava Jihomoravský kraj,2+kk,37 ,14500,2500
Brno - Veveří Jihomoravský kraj,2+kk,42 ,14500,3000
Praha - Jinonice,Garsoniéra,32 ,12500,2500
Kurta Konráda Praha - Libeň,2+kk,66 ,21500,3058
Pod Bučinou Řitka Středočeský kraj,2+kk,60 ,14000,7000
Praha - Stodůlky,2+kk,65 ,17500,3500
Praha - Smíchov,3+1,100 ,27000,2000
Brno - Žebětín Jihomoravský kraj,1+kk,30 ,9500,2500
U Kasáren Pohořelice nad Jihlavou Jihomoravský kraj,2+kk,45 ,13000,3500
Praha - Střešovice,2+1,50 ,16000,4000
Brno - Husovice Jihomoravský kraj,1+1,35 ,8900,3000
Chýně Středočeský kraj,1+kk,37 ,13000,2500
Praha - Žižkov,3+1,98 ,30000,5000
Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem Středočeský kraj,2+kk,45 ,17500,4000
Černiv Ústecký kraj,2+kk,52 ,12000,2500
Brno - Černá Pole Jihomoravský kraj,2+1,55 ,12000,4000
U Zeměpisného ústavu Praha - Bubeneč,1+kk,28 ,21019,7006
Plzeň Plzeňský kraj,2+1,65 ,12000,3500
Hradec Králové - Pražské Předměstí Královéhradecký kraj,2+kk,53 ,13500,3500
Praha - Strašnice,2+1,49 ,15000,4000
Bříza Ústecký kraj,3+1,85 ,7500,4000
Praha - Letňany,2+kk,51 ,19500,4300
Ostrava - Hrabůvka Moravskoslezský kraj,2+kk,50 ,12751,2334
Slovenského národního povstání Havířov - Šumbark Moravskoslezský kraj,3+1,78 ,6500,0
Praha - Nové Město,3+kk,90 ,43000,7000
Jana Želivského Praha - Žižkov,2+kk,64 ,20500,5500
Cihelní Karviná-město Moravskoslezský kraj,2+1,54 ,5800,0
Praha - Kyje,2+kk,48 ,17000,2900
Alšova Ostrava - Poruba Moravskoslezský kraj,2+1,58 ,8550,0
Komenského Protivín Jihočeský kraj,2+1,58 ,9950,2700
Moravská Ostrava Moravskoslezský kraj,2+1,65 ,15000,0
Mírová Havířov-město Moravskoslezský kraj,2+1,58 ,6650,0
Rakovník Středočeský kraj,2+1,58 ,11900,4500
Baranova Praha - Žižkov,2+kk,58 ,19500,779
Olbramovická Praha - Kamýk,2+1,60 ,16000,3950
U Stromovky Havířov-město Moravskoslezský kraj,1+1,45 ,5850,0
Ostrovského Havířov-město Moravskoslezský kraj,2+1,48 ,6400,0
Dvořákova Havířov-město Moravskoslezský kraj,2+1,54 ,6570,0
Klidná Havířov-město Moravskoslezský kraj,2+1,53 ,6550,0
Okružní Orlová - Horní Lutyně Moravskoslezský kraj,1+kk,29 ,4550,0
Famfulíkova Praha - Kobylisy,2+kk,43 ,14000,3600
Praha - Vršovice,2+kk,47 ,21768,2772
Bezděkov Pardubický kraj,Garsoniéra,20 ,5500,800
Bílina-Újezd Ústecký kraj,2+kk,48 ,9000,4000
Ořech Středočeský kraj,2+kk,45 ,11500,2500
nám. Budovatelů Karviná-město Moravskoslezský kraj,3+1,69 ,6250,0
Gorazdova Praha - Nové Město,1+kk,26 ,21900,3000
Slovenského národního povstání Havířov - Šumbark Moravskoslezský kraj,1+kk,28 ,4100,0
Malá Morava Olomoucký kraj,3+1,75 ,12000,3600
Gorazdova Praha - Nové Město,1+kk,25 ,22000,3500
Jičín Královéhradecký kraj,2+1,56 ,12000,3500
Slezská Havířov-město Moravskoslezský kraj,2+1,49 ,6150,0
Holubice Jihomoravský kraj,1+kk,37 ,10000,2500
Praha - Karlín,2+kk,63 ,26000,3400
Praha - Hlubočepy,3+1,82 ,20000,1000
Praha - Vinohrady,Garsoniéra,29 ,15000,3000
Bechyně Jihočeský kraj,1+1,44 ,6000,2800
Praha - Vysočany,1+kk,16 ,10000,2500
Strakonická Praha - Smíchov,2+kk,45 ,33750,11250
Ořešín Buštěhrad Středočeský kraj,3+kk,80 ,26250,8750
Praha - Podolí,2+kk,44 ,17500,2500
Otradovická Praha - Kamýk,3+kk,106 ,27000,6000
Praha - Karlín,4+1,30 ,8300,0
